id;distance_beech;distance_oak;distance_dgl;oak_regen;beech_regen;douglas_regen
37278;481,0405273;63,24555206;231,9482574;0;0;0
23577;110,4536057;76,1577301;85,44003296;1;0;0
7733;0;812,7114868;196,4688263;0;0;0
21640;31,62277603;28,28427124;0;0;0;0
16606;208,8061371;0;170,293869;0;0;0
32065;230,8679199;172,62677;158,1138763;0;0;0
7293;234,0939941;396,6106567;260;0;0;0
15790;403,112854;277,3084717;200;0;0;0
31685;14,14213562;10;56,56854248;0;0;0
17705;0;10;539,0733032;0;3;0
26139;0;114,0175476;183,8477783;0;30;0
16454;10;14,14213562;445,5333862;0;0;0
23554;1172,092163;78,10250092;14,14213562;0;0;0
9001;0;250;499,2994995;0;11;0
24221;30;0;36,05551147;0;1;0
1096;31,62277603;64,03124237;10;0;0;0
31111;174,6424866;40;50;0;0;0
44199;128,0624847;0;40;0;0;0
23435;338,378479;44,72135925;0;0;0;0
14188;0;205,1828308;174,9285583;0;0;0
24916;20;10;28,28427124;0;0;0
38352;269,2582397;30;50;0;0;0
16428;0;94,33981323;260;0;1;0
5939;199,2485809;259,4224243;286,3564453;0;0;0
29736;763,2168579;82,46211243;0;4;0;1
4425;10;0;128,0624847;0;1;0
26389;0;10;230,2172852;0;0;0
43545;40;198,494339;86,02325439;1;0;0
37179;960,052124;620,96698;585,9180908;0;0;0
1316;10;233,4523621;14,14213562;0;0;0
1201;28,28427124;36,05551147;92,1954422;0;0;0
14127;100,4987488;273,1300049;130;0;0;0
27489;240,8318939;0;136,0147095;0;0;0
4062;44,72135925;28,28427124;779,2945557;0;0;0
33302;653,9112549;70,7106781;10;0;0;0
26673;72,11102295;50;197,230835;0;0;0
36640;36,05551147;22,36067963;14,14213562;0;0;0
27752;794,0402832;58,30951691;440;5;0;0
14200;22,36067963;796,2411499;42,42640686;0;0;0
15895;330;111,8033981;42,42640686;0;0;0
40528;14,14213562;0;10;0;0;0
12993;22,36067963;10;10;0;0;0
9141;0;120,415947;92,1954422;0;0;0
29208;102,9563065;31,62277603;164,9242249;0;0;0
42072;424,4996948;220,2271423;67,08203888;3;2;0
4714;0;36,05551147;241,8677368;0;0;0
15212;0;30;161,2451477;0;0;0
10353;10;31,62277603;340;0;0;0
9959;183,575592;212,6029205;601,6643677;0;0;0
10300;762,3647461;1204,325562;1608,601807;0;0;0
42318;411,0960693;251,7935791;184,3908844;0;0;0
29419;134,1640778;100;0;1;0;0
35468;552,2680664;102,9563065;60,82762909;0;1;0
13722;0;250,1999207;156,524765;0;5;0
9099;30;80;100;0;0;0
26242;50;0;80,62257385;0;0;0
15967;560;50,99019623;20;0;0;0
35780;92,1954422;114,0175476;53,85164642;0;0;0
10063;133,4166412;131,5294647;280;0;0;0
23701;0;40;260;0;2;0
24813;30;0;478,8528137;4;1;0
12288;0;56,56854248;152,3154602;0;30;0
14377;58,30951691;144,2220459;67,08203888;0;0;0
16244;438,2921143;100,4987488;56,56854248;0;0;0
36771;429,4182129;270,7397156;36,05551147;0;0;0
2173;0;78,10250092;92,1954422;0;0;0
39982;0;50;251,7935791;0;0;0
11488;28,28427124;1481,215698;332,4154053;0;0;0
26204;30;0;72,80110168;0;22;0
141;31,62277603;44,72135925;0;0;0;0
39545;143,1782227;102,9563065;10;0;0;0
6673;0;67,08203888;50;0;0;0
3443;219,5449829;214,7091064;89,44271851;0;0;0
37177;1587,954712;684,4705811;212,1320343;0;0;0
24277;98,99494934;63,24555206;0;1;0;0
10009;220,9072113;457,0557861;696,4194336;0;0;0
8042;125,2996445;164,9242249;250,7987213;0;0;0
24286;36,05551147;0;286,5309753;30;0;0
12623;20;14,14213562;250,7987213;0;0;0
13930;80,62257385;78,10250092;94,86832428;0;0;0
6919;10;31,62277603;70,7106781;0;0;0
13240;0;20;350,1428223;0;16;0
35808;923,5800171;490,4079895;495,1767273;0;0;0
8565;0;20;451,774292;0;15;0
19539;14,14213562;0;230,2172852;0;0;0
41950;406,0787964;353,5534058;72,80110168;1;0;0
36766;723,6712036;323,1098938;166,4331665;0;0;0
22638;0;20;322,0248413;0;0;0
6179;36,05551147;40;840,2380371;0;0;0
23709;0;22,36067963;693,541626;0;4;0
9579;172,62677;465,1881409;114,0175476;0;0;0
42600;550,8175659;254,9509888;90,5538559;0;0;0
36281;200;134,5362396;30;1;0;0
26261;63,24555206;0;299,6664734;0;0;0
33430;1607,97998;595,3990479;238,5372162;3;0;0
10710;0;50;284,253418;0;0;0
37703;324,4996338;254,5584412;86,02325439;0;1;0
10687;164,012207;100;664,8308105;0;0;0
728;0;31,62277603;191,0497284;0;0;0
7100;22,36067963;494,9747314;70;0;0;0
26217;345,25354;80;10;0;0;0
13732;0;214,7091064;172,62677;0;7;0
20013;0;10;107,7032928;0;0;0
5307;0;148,6606903;296,8164368;0;0;0
22354;20;0;70,7106781;1;1;0
278;120,8304596;326,4965515;134,1640778;0;0;0
20838;40;36,05551147;161,2451477;0;0;0
6178;0;226,715683;436,5776062;0;0;0
7579;332,4154053;386,3935852;396,2322693;0;0;0
31138;407,9215698;164,012207;225,6102753;0;0;0
43870;2384,806152;505,9644165;730,0684814;0;0;0
20624;94,86832428;92,1954422;592,1148682;0;0;0
40426;30;0;113,137085;0;0;0
25985;31,62277603;0;308,0584412;0;0;0
3106;10;82,46211243;568,8585205;0;1;0
24919;10;0;125,2996445;2;3;0
35440;178,885437;138,9244385;41,23105621;0;0;0
31947;187,8829346;0;1114,136475;2;0;0
27399;31,62277603;10;50,99019623;1;6;0
9902;636,0031738;939,4147339;1563,105957;0;0;0
21846;22,36067963;0;658,6349487;0;0;0
9070;0;106,3014603;202,4845734;0;30;0
29027;98,4885788;50,99019623;0;0;0;30
16694;10;20;14,14213562;0;0;0
22842;82,46211243;0;100,4987488;0;0;0
20648;70,7106781;50;40;0;0;0
25907;616,6035767;254,9509888;85,44003296;2;0;0
7345;50,99019623;184,3908844;58,30951691;0;0;0
12399;10;0;100;0;3;0
42497;672,3094482;116,6190338;70;0;0;0
31778;10;0;84,85281372;0;0;0
19510;0;14,14213562;390,5124512;0;1;0
26108;313,04953;127,2792206;67,08203888;3;0;0
27381;20;0;56,56854248;0;0;0
36871;22,36067963;10;42,42640686;0;0;0
39271;150;140,3566895;22,36067963;0;0;0
15294;0;50;334,2155151;0;30;0
31086;234,0939941;40;150;0;0;0
11717;36,05551147;392,1734314;167,6305389;0;2;0
43660;14,14213562;0;100;0;0;0
6058;50;90,5538559;72,80110168;0;0;0
6812;0;125,2996445;982,7003174;0;0;0
12911;0;150;517,8803101;0;0;0
32066;191,0497284;31,62277603;0;0;0;0
27492;104,4030685;10;123,6931686;0;2;0
107;28,28427124;362,3533936;141,4213562;0;0;0
36732;64,03124237;42,42640686;106,3014603;0;0;0
41256;117,0469971;104,4030685;22,36067963;0;0;18
24159;53,85164642;22,36067963;10;1;2;0
30510;1664,121338;89,44271851;41,23105621;0;0;0
2589;90;155,5634918;528,1098633;0;0;0
7823;306,1045532;841,7243652;178,0449219;0;0;0
32729;171,1724243;106,3014603;20;0;0;0
12859;0;63,24555206;585,491272;0;26;0
4480;0;155,5634918;241,8677368;0;2;0
30178;102,9563065;0;102,9563065;7;0;0
22690;70,7106781;0;244,1311035;0;0;0
13055;0;60,82762909;980,815979;0;3;0
29462;505,9644165;67,08203888;0;0;0;0
24595;0;151,3274536;386,005188;0;30;0
30352;58,30951691;44,72135925;22,36067963;0;0;0
34066;530,3772583;368,7817688;60,82762909;0;0;0
19366;0;44,72135925;305,9411621;0;30;0
18185;30;0;85,44003296;0;0;0
16470;110,4536057;92,1954422;90;0;0;0
36825;360;240,8318939;111,8033981;0;0;0
14085;0;10;604,6486816;0;30;0
560;0;36,05551147;245,1530151;0;0;0
18064;0;111,8033981;1257,179443;0;4;0
31088;104,4030685;0;41,23105621;0;0;0
6762;64,03124237;80;183,575592;0;0;0
29574;161,2451477;106,3014603;0;0;0;0
39844;0;10;238,5372162;2;0;0
23754;42,42640686;10;121,6552582;0;0;0
1078;0;22,36067963;197,230835;0;0;0
33202;219,3171387;162,788208;0;0;0;0
125;20;270;430,4648438;0;0;0
41911;234,3074951;0;64,03124237;0;8;0
33727;752,9276123;106,3014603;36,05551147;2;0;0
26386;10;0;280,1784973;0;13;0
19273;0;14,14213562;336,1547241;0;30;0
17885;98,4885788;94,33981323;64,03124237;0;0;0
15716;101,9803925;22,36067963;100;0;0;0
9831;139,2838898;653,9112549;500,8992004;0;0;0
36081;270;160;111,8033981;1;2;0
